站號,站名,城市,地址
466850,五分山雷達站,新北市,瑞芳區靜安路四段1巷1號
466881,新北,新北市,新店區莒光路29號
466900,淡水,新北市,淡水區中正東路42巷6號
466910,鞍部,臺北市,北投區陽明山竹子湖路111號
466920,臺北,臺北市,中正區公園路64號
466930,竹子湖,臺北市,北投區陽明山竹子湖路2號
466940,基隆,基隆市,仁愛區港西街6號6樓(海港大樓6樓)
466950,彭佳嶼,基隆市,中正區彭佳嶼
466990,花蓮,花蓮縣,花蓮市花崗街24號
467050,新屋,桃園市,新屋區東興路二段946號
467080,宜蘭,宜蘭縣,宜蘭市力行路150號
467110,金門,金門縣,金城鎮金水里西海路一段250號
467270,田中,彰化縣,田中鎮中潭里4鄰高鐵三路1段167號
467300,東吉島,澎湖縣,望安鄉東吉村156號
467350,澎湖,澎湖縣,馬公市新興路2號
467410,臺南,臺南市,中西區公園路21號
467420,永康,臺南市,永康區鹽行里正南五街520巷88號
467441,高雄,高雄市,楠梓區德民路28號
467480,嘉義,嘉義市,西區北新里海口寮路56號
467490,臺中,臺中市,北區精武路295號
467530,阿里山,嘉義縣,阿里山鄉中正村4鄰東阿里山73-1號
467540,大武,臺東縣,大武鄉大武街115號
467550,玉山,南投縣,信義鄉玉山北峰1號
467571,新竹,新竹縣,竹北市北崙里3鄰光明五街60號
467590,恆春,屏東縣,恆春鎮天文路50號
467610,成功,臺東縣,成功鎮公民路84號
467620,蘭嶼,臺東縣,蘭嶼鄉紅頭村2號
467650,日月潭,南投縣,魚池鄉水社村中山路270巷14號
467660,臺東,臺東縣,臺東市大同路106號
467790,墾丁雷達站,屏東縣,恆春鎮燈塔路51巷33號
467990,馬祖,連江縣,南竿鄉四維村6鄰88號
C0A520,山佳,新北市,樹林區中山路3段5號(山佳國民小學校園內)
C0A530,坪林,新北市,坪林區
C0A540,四堵,新北市,坪林區碧湖(北宜路旁之碧湖橋道路上行約10分鐘)
C0A550,泰平,新北市,雙溪區泰平里8鄰大平路43號(泰平國小分校附近)
C0A560,福山,新北市,烏來區福山里李茂岸八號(福山國小旁)
C0A570,桶後,新北市,烏來區后桶街49號孝義里5-6k處路旁
